sizeOfCloseNeighborhood, queryLevel, queryHeight, isCorrectParent, isCorrectChild, isCorrectParentPPR, isCorrectChildPPR, cos_sim_query_pred_child, cos_sim_query_pred_parent, cos_sim_query_pred_child_ppr, cos_sim_query_pred_parent_ppr, graph_distance_query_pred_child, graph_distance_query_pred_parent, graph_distance_query_pred_child_ppr, graph_distance_query_pred_parent_ppr
80, 5, 0, False, True, False, True, N/A, 0.6691063046455383, N/A, 0.6691063046455383, N/A, 6, N/A, 6
80, 5, 0, True, True, False, True, N/A, 0.6207948923110962, N/A, 0.6826037764549255, N/A, 6, N/A, 5
12, 6, 0, False, True, False, True, N/A, 0.6880115270614624, N/A, 0.6743333339691162, N/A, 7, N/A, 7
12, 6, 0, False, True, False, True, N/A, 0.6992648839950562, N/A, 0.6992648839950562, N/A, 5, N/A, 5
80, 5, 0, False, True, False, True, N/A, 0.7462056875228882, N/A, 0.7271077632904053, N/A, 6, N/A, 6
80, 5, 0, False, True, False, True, N/A, 0.7208799123764038, N/A, 0.7211682796478271, N/A, 9, N/A, 8
80, 5, 0, False, True, False, True, N/A, 0.685570478439331, N/A, 0.6855705976486206, N/A, 7, N/A, 7
80, 5, 0, False, False, False, False, N/A, 0.788008987903595, N/A, 0.788008987903595, N/A, 6, N/A, 6
80, 5, 0, True, True, True, True, N/A, 0.7944796681404114, N/A, 0.6981567740440369, N/A, 4, N/A, 4
1811, 3, 2, True, True, True, True, N/A, 0.6322506666183472, N/A, 0.689131498336792, N/A, 6, N/A, 4
9, 4, 0, False, True, True, True, N/A, 0.6268159747123718, N/A, 0.6291502714157104, N/A, 5, N/A, 4
11, 4, 1, True, True, True, True, N/A, 0.8201853036880493, N/A, 0.81996750831604, N/A, 6, N/A, 6
9, 4, 0, False, True, False, True, N/A, 0.7009379863739014, N/A, 0.7009378671646118, N/A, 5, N/A, 5
9, 4, 0, True, True, True, True, N/A, 1.0000001192092896, N/A, 0.8206841349601746, N/A, 5, N/A, 5
9, 4, 0, False, True, False, True, N/A, 0.7018692493438721, N/A, 0.7018692493438721, N/A, 3, N/A, 3
9, 4, 0, False, True, False, True, N/A, 0.7133431434631348, N/A, 0.7133431434631348, N/A, 4, N/A, 4
9, 4, 0, False, True, False, True, N/A, 0.7468118071556091, N/A, 0.7468118667602539, N/A, 5, N/A, 5
5, 5, 0, False, True, False, True, N/A, 0.794440507888794, N/A, 0.794440507888794, N/A, 7, N/A, 7
5, 5, 0, False, True, False, True, N/A, 0.7589850425720215, N/A, 0.7521988153457642, N/A, 4, N/A, 4
851, 3, 1, False, False, False, False, N/A, 0.7220039963722229, N/A, 0.7220039963722229, N/A, 4, N/A, 4
3, 4, 0, True, True, True, True, N/A, 0.8116974234580994, N/A, 0.8116974830627441, N/A, 5, N/A, 5
851, 3, 1, False, True, False, True, N/A, 0.7975146174430847, N/A, 0.7975146770477295, N/A, 5, N/A, 5
